control_id,domain,source_standard,source_requirement,applicable,asset,test_method,authorization_needed,status,evidence_reference,finding_id,limitation,reviewer_notes
V1-1,Encoding and Sanitization,OWASP ASVS 5.0,V1.1 Output Encoding,true,src/components,Static Code Review,STATIC_ONLY,CONTROLE VALIDADO,src/components/BrazilianClock.tsx:1-40,N/A,None,React JSX protege nativamente contra injeção direta de HTML
V2-1,Validation and Business Logic,OWASP ASVS 5.0,V2.1 Input Validation,true,supabase/migrations,Static Code Review,STATIC_ONLY,CONTROLE VALIDADO,supabase/migrations/20260207112405_b5e72a0b.sql:26-34,N/A,None,Conversão explícita de tipos (integer/boolean) via cast no PL/pgSQL
V3-1,Web Frontend Security,OWASP ASVS 5.0,V3.1 Service Worker Security,true,public/custom-sw.js,Static Code Review,STATIC_ONLY,CONFIRMADO,public/custom-sw.js:40-53,AUD-008,None,clients.openWindow abre URLs sem validação de domínio
V4-1,API and Web Service,OWASP ASVS 5.0,V4.1 Endpoint Authentication,true,supabase/functions,Static Code Review,STATIC_ONLY,CONFIRMADO,supabase/config.toml:3-4,AUD-005,None,verify_jwt = false sem autenticação customizada
V6-1,Authentication,OWASP ASVS 5.0,V6.1 Credential Rate Limiting,true,supabase/migrations,Static Code Review,STATIC_ONLY,CONFIRMADO,supabase/migrations/20260207112405_b5e72a0b.sql:3-11,AUD-003,None,_verify_pin não possui controle de tentativas e está exposto para anon
V6-2,Authentication,OWASP ASVS 5.0,V6.2 Password Storage,true,supabase/migrations,Static Code Review,STATIC_ONLY,CONFIRMADO,supabase/migrations/20260207014059_a87711e5.sql:5-6,AUD-006,None,admin_pin e secret_phrase gravados em texto claro
V7-1,Session Management,OWASP ASVS 5.0,V7.1 Session Storage,true,src/pages/Admin.tsx,Static Code Review,STATIC_ONLY,CONFIRMADO,src/pages/Admin.tsx:15-18,AUD-009,None,admin-authenticated e admin-pin salvos no sessionStorage
V8-1,Authorization,OWASP ASVS 5.0,V8.1 Row Level Security (Push),true,supabase/migrations,Static Code Review,STATIC_ONLY,CONFIRMADO,supabase/migrations/20260208033525_f48525e5.sql:10-20,AUD-001,None,Políticas permissivas para anon permitem SELECT e DELETE em push_subscriptions
V8-2,Authorization,OWASP ASVS 5.0,V8.2 Direct Table Modification,true,supabase/migrations,Static Code Review,STATIC_ONLY,CONTROLE VALIDADO,supabase/migrations/20260207112405_b5e72a0b.sql:63-68,N/A,None,Escritas diretas em queue_state e professionals foram removidas com sucesso
V10-1,OAuth and OIDC,OWASP ASVS 5.0,V10.1 OAuth Implementation,false,N/A,Static Code Review,STATIC_ONLY,NÃO APLICÁVEL,N/A,N/A,Aplicação não utiliza OAuth/SSO,Sistema baseado em PIN local
V11-1,Cryptography,OWASP ASVS 5.0,V11.1 Secret Generation,true,src/hooks/useOnlinePresence.ts,Static Code Review,STATIC_ONLY,CONTROLE VALIDADO,src/hooks/useOnlinePresence.ts:12-14,N/A,None,Uso de crypto.randomUUID() para chaves de presença
V13-1,Configuration,OWASP ASVS 5.0,V13.1 Hardcoded Credentials,true,supabase/migrations,Static Code Review,STATIC_ONLY,CONFIRMADO,supabase/migrations/20260208032319_0a243e4d.sql:17-18,AUD-007,None,Anon key e URL do Supabase inseridos estaticamente em função SQL
V14-1,Data Protection,OWASP ASVS 5.0,V14.1 Subscriber Privacy,true,supabase/migrations,Static Code Review,STATIC_ONLY,CONFIRMADO,supabase/migrations/20260208033525_f48525e5.sql:13-14,AUD-001,None,Exposição pública dos dados de navegadores inscritos no Web Push
V15-1,Secure Architecture,OWASP ASVS 5.0,V15.1 Denial of Service Protections,true,supabase/migrations,Static Code Review,STATIC_ONLY,CONFIRMADO,supabase/migrations/20260207023146_71a29391.sql:18-51,AUD-004,None,Chave global de bloqueio trava o acesso de todos os usuários
V16-1,Logging and Error Handling,OWASP ASVS 5.0,V16.1 Error Handling,true,src/components/ErrorBoundary.tsx,Static Code Review,STATIC_ONLY,CONTROLE VALIDADO,src/components/ErrorBoundary.tsx:1-50,N/A,None,ErrorBoundary captura exceções sem vazar stack trace no DOM em produção
